sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
UDN226821,170,182,193,545,8,122,114,83,319,5,73,53,29,155,4,23,12,2,37,0,126,137,172,399,5,89,88,76,234,4,54,41,28,114,4,16,8,2,23,0,4,0,4
GSS219199,167,197,177,541,9,96,133,83,312,8,37,73,33,143,4,12,11,5,28,3,120,138,150,382,5,71,92,74,221,4,29,54,28,106,1,9,9,3,20,1,5,0,5
UDN751647,167,183,204,554,7,104,122,110,336,1,62,76,41,179,0,12,20,4,36,0,115,130,176,388,5,72,92,99,241,1,44,57,37,126,0,9,14,4,27,0,7,0,6
UDN659517,161,174,63,398,33,106,108,29,243,13,59,62,9,130,7,20,21,0,41,2,112,123,58,266,27,74,77,26,158,9,41,43,9,81,4,12,13,0,20,1,2,1,2
UDN090830,160,164,82,406,22,89,96,38,223,9,42,54,8,104,3,11,8,1,20,1,111,120,76,280,20,61,70,34,156,8,30,40,8,76,2,8,7,1,16,1,2,0,2
RD418,159,156,77,392,24,101,108,31,240,5,56,62,12,130,1,16,17,1,34,0,111,102,67,260,19,72,72,25,158,3,42,40,9,85,0,12,11,1,23,0,7,0,6
RD536,157,165,91,413,18,100,109,38,247,8,54,68,13,135,4,14,17,1,32,1,100,111,76,275,13,67,72,31,161,6,37,46,12,89,3,9,8,1,16,1,5,0,5
UDN908240,154,127,132,413,6,97,81,61,239,3,49,38,23,110,3,6,15,1,22,0,106,81,111,277,5,64,50,52,157,2,32,21,21,70,2,4,9,0,13,0,6,0,6
RD469,149,172,90,411,7,97,88,30,215,4,56,45,8,109,1,17,10,2,29,0,104,117,78,269,7,67,60,28,141,4,40,33,6,69,1,12,6,2,18,0,1,0,1
UDN309913,148,133,110,391,8,81,80,42,203,5,43,50,16,109,4,13,11,2,26,3,105,93,101,275,6,63,51,40,140,5,35,34,15,78,4,11,7,2,19,3,6,1,5
RD430,146,154,147,447,32,90,100,81,271,12,49,55,29,133,1,20,11,2,33,1,102,110,128,309,28,69,76,69,197,12,40,41,26,100,1,16,9,2,26,1,14,3,14
RD539,146,182,80,408,14,96,116,29,241,7,52,70,15,137,6,16,19,2,37,2,108,127,61,270,8,73,85,17,156,2,41,51,9,87,1,10,13,0,21,1,2,0,2
