Estimate,Absolute_Effect_Estimate,pvalue,padjust,variance_explained,std_error,Value,Numbers
5.971211974670339,5.971211974670339,0.2589254507987002,1,0.8134597647983028,0.7205553017916978,Intercept,5
-1.07355642462343,1.07355642462343,0.09147059553052941,0.45735297765264704,0.1462508717453621,0.08665738433260126,RIN,4
0.012044580150601687,0.012044580150601687,0.4997225759318582,1,0.0016408362955400984,0.002431133948623817,age,3
-0.2260147752548018,0.2260147752548018,0.7439356021776113,1,0.03079005178506707,0.09426120681077567,sexM,2
-0.057685240618918124,0.057685240618918124,0.24646917548202946,1,0.007858475375727935,0.006780579348156696,batch,1
