metric,mean,sd
All,167.53125,220.77914265230584
Psi3,57.122395833333336,70.88591296150447
Psi5,56.390625,70.98908470227546
Theta,54.018229166666664,101.27179354655144
Jaccard Index,27.559895833333332,134.95198471522824
