values,zscores_theta_in_MIGs,number_theta_juncs_in_MIGs
RD268,8.71532380055876,1
GSS225379,8.37018280262279,1
UDN550488.Aligned.sortedByCoord.out.bam,10.095887792302644,1
UDN238929.Aligned.sortedByCoord.out.bam,7.679900806750848,1
RD380,7.334759808814878,1
