Estimate,Absolute_Effect_Estimate,pvalue,padjust,variance_explained,std_error,Value,Numbers
-58.57726208327757,58.57726208327757,0.2841899320068683,1,0.7789824181280314,0.7263420499802545,Intercept,5
7.1097308608068355,7.1097308608068355,0.2526363089710766,1,0.09454786962075971,0.08252308030681776,RIN,4
0.5426418107064507,0.5426418107064507,0.0023322783763058204,0.011661391881529102,0.00721625447909348,0.002354374873685274,age,3
6.8502477497682985,6.8502477497682985,0.3158893440635849,1,0.09109716581331959,0.0907098560640436,sexM,2
2.117273066736392,2.117273066736392,1.56901362507305e-9,7.84506812536525e-9,0.028156291958795886,0.004549082503124197,batch,1
