sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
GSS296409,129,140,127,396,1,69,89,66,224,1,32,46,28,106,1,9,12,4,25,1,98,103,111,283,1,54,65,57,165,1,26,35,26,81,1,7,7,4,14,1,2,0,2
RD146,128,130,35,293,107,78,62,10,150,45,44,31,5,80,13,3,6,1,10,2,82,86,30,186,78,47,41,9,90,30,30,22,4,52,9,2,3,1,6,2,3,5,2
RD412,125,103,44,272,4,74,60,22,156,3,41,32,5,78,1,14,9,1,24,0,91,74,34,189,3,52,42,18,105,2,28,23,4,51,1,8,5,1,13,0,2,0,2
GSS284499,124,105,67,296,6,78,65,34,177,5,31,27,12,70,2,8,6,1,15,0,95,76,58,212,4,59,45,29,123,3,23,19,11,50,1,6,3,1,9,0,5,0,3
RD385,124,148,300,572,13,75,91,135,301,6,37,52,60,149,3,11,16,13,40,2,87,101,251,417,11,52,58,111,207,5,26,35,49,103,2,8,9,10,26,2,17,3,15
RD419,123,116,99,338,35,81,70,48,199,18,33,17,15,65,8,8,4,2,14,0,83,82,85,226,28,54,50,45,140,16,25,12,14,50,7,7,3,2,11,0,7,1,7
GSS178187,121,132,82,335,5,74,75,40,189,3,55,41,18,114,3,13,7,3,23,1,93,93,74,235,3,59,49,37,133,2,42,28,16,78,2,11,5,3,16,1,2,0,2
GSS278189,119,112,56,287,1,73,73,28,174,1,31,34,8,73,0,8,6,1,15,0,81,75,48,188,0,49,46,24,111,0,21,24,5,46,0,5,4,1,10,0,0,0,0
RD439,119,123,30,272,6,65,59,13,137,5,32,27,6,65,1,5,6,1,12,0,81,81,22,175,5,46,42,9,91,5,24,19,5,45,1,5,1,1,7,0,3,1,3
RD409,118,120,65,303,6,67,73,22,162,3,32,34,13,79,2,7,2,2,11,0,80,85,58,202,3,47,53,19,107,0,21,24,10,51,0,4,2,1,7,0,3,0,3
UDN537120,117,117,99,333,3,75,66,51,192,3,34,42,20,96,1,6,8,4,18,1,87,84,87,243,2,62,51,45,146,2,28,33,19,74,0,5,6,3,13,0,2,0,2
RD463,115,114,32,261,3,74,63,19,156,3,42,36,5,83,3,12,9,1,22,0,75,74,28,159,2,46,39,15,91,2,28,23,2,50,2,8,5,0,13,0,2,0,2
UDN281599,114,132,319,565,5,69,71,179,319,4,44,29,63,136,4,4,7,8,19,2,82,90,256,405,1,47,46,145,228,1,30,19,50,95,1,1,4,5,10,1,13,0,12
RD396,108,112,31,251,3,75,74,16,165,0,50,42,6,98,0,16,14,1,31,0,79,65,27,156,3,55,44,14,103,0,34,24,6,56,0,10,7,1,13,0,3,0,3
GSS198414,107,126,19,252,2,64,78,9,151,1,35,44,5,84,1,12,11,3,26,1,81,90,16,171,1,47,59,7,102,1,26,33,4,56,1,9,7,2,16,1,0,0,0
RD406,106,92,42,240,0,55,50,16,121,0,30,18,8,56,0,6,2,0,8,0,77,55,34,152,0,40,34,14,80,0,21,12,6,39,0,3,1,0,4,0,1,0,1
UDN813682,104,88,45,237,6,64,57,12,133,5,26,36,6,68,5,7,17,1,25,3,77,61,41,160,5,49,40,11,92,4,18,25,6,41,4,4,11,1,13,3,2,0,2
RD431,103,99,36,238,7,60,56,13,129,5,25,27,4,56,2,11,11,1,23,1,63,65,27,145,4,33,39,11,77,4,15,16,3,31,1,7,5,0,11,1,1,0,1
UDN652612,101,81,16,198,0,52,53,6,111,0,25,33,1,59,0,7,10,0,17,0,73,53,15,128,0,40,30,6,69,0,19,15,1,33,0,5,3,0,8,0,0,0,0
GSS189454,100,89,52,241,2,54,59,18,131,0,31,20,6,57,0,6,4,1,11,0,78,71,43,182,1,43,51,14,103,0,24,19,4,44,0,4,4,0,7,0,2,0,2
RD398,99,82,38,219,4,61,63,22,146,3,31,42,12,85,2,6,11,4,21,0,71,56,34,145,2,45,42,19,93,1,21,27,9,48,1,3,8,3,12,0,2,0,2
RD447,98,92,17,207,1,47,62,9,118,1,26,23,5,54,0,8,9,1,18,0,68,63,12,130,1,30,41,5,69,1,16,16,2,30,0,4,5,1,9,0,0,0,0
RD413,97,100,55,252,1,63,56,21,140,1,30,38,7,75,0,6,5,0,11,0,65,63,45,162,1,42,38,19,93,1,21,24,6,49,0,6,3,0,9,0,3,0,3
UDN377165,97,109,65,271,2,62,58,31,151,2,31,22,6,59,1,3,5,0,8,1,76,74,57,198,2,51,40,27,113,2,25,13,5,40,1,3,2,0,4,1,3,0,3
RD147,96,136,42,274,55,57,88,10,155,16,35,45,6,86,6,8,7,2,17,0,68,86,34,174,45,41,57,7,97,14,28,29,4,57,5,6,5,1,12,0,1,3,1
RD367,96,89,68,253,6,64,58,27,149,6,39,20,11,70,6,14,10,4,28,4,66,63,59,172,5,41,40,21,91,5,24,16,9,42,5,9,7,4,16,3,1,0,1
UDN064673,96,95,27,218,4,62,49,10,121,1,30,22,5,57,0,6,4,0,10,0,65,65,20,137,4,44,33,6,77,1,20,17,2,36,0,3,3,0,6,0,0,0,0
GSS293969,90,75,10,175,3,44,43,6,93,2,23,26,1,50,2,8,6,0,14,0,61,57,9,115,1,33,33,6,67,1,17,20,1,34,1,5,4,0,8,0,0,0,0
RD387,90,68,37,195,5,63,42,20,125,4,45,30,14,89,3,14,15,4,33,1,53,47,24,112,4,33,28,12,64,3,21,18,7,41,2,8,9,2,15,1,2,0,2
RD390,90,110,48,248,2,53,83,31,167,1,32,40,22,94,1,5,9,10,24,0,63,74,28,152,0,37,55,16,101,0,22,26,8,54,0,3,7,2,12,0,1,0,1
RD380,89,80,347,516,147,66,51,301,418,128,47,38,262,347,103,14,15,179,208,44,58,49,214,300,125,41,34,185,245,110,28,24,160,200,91,8,10,111,122,38,252,114,153
RD391,89,82,21,192,3,47,49,9,105,2,20,24,5,49,2,11,8,2,21,2,53,57,16,113,2,28,31,7,58,1,12,14,3,25,1,5,4,0,7,1,0,0,0
RD422,88,70,20,178,1,43,53,9,105,1,29,35,7,71,0,6,7,0,13,0,57,44,15,105,1,30,31,6,61,1,20,21,5,40,0,4,3,0,5,0,0,0,0
GSS215789,85,81,40,206,2,58,50,20,128,1,38,25,4,67,1,7,4,0,11,0,61,57,35,144,1,43,35,18,89,1,27,19,3,45,1,4,4,0,8,0,3,0,3
GSS246329,84,83,12,179,5,54,53,7,114,5,23,27,6,56,4,6,5,2,13,1,63,60,11,117,3,39,41,6,75,3,19,22,5,41,2,5,3,1,8,1,0,0,0
UDN485673,84,79,55,218,2,60,47,25,132,2,28,24,2,54,2,8,10,0,18,1,63,61,48,161,2,45,38,21,97,2,20,18,2,37,2,5,6,0,9,1,2,0,2
UDN998168,84,81,7,172,2,46,55,6,107,2,26,25,4,55,2,8,4,0,12,0,61,53,6,109,2,36,36,5,68,2,22,16,4,36,2,6,3,0,7,0,0,0,0
RD368,83,57,28,168,4,60,30,18,108,4,28,16,13,57,3,11,2,5,18,1,52,39,18,102,3,41,20,10,66,3,18,11,6,33,2,8,1,1,9,1,4,0,4
RD415,83,68,39,190,3,57,49,21,127,0,31,17,12,60,0,5,4,2,11,0,53,46,28,117,3,34,30,14,74,0,16,8,9,32,0,3,1,2,5,0,0,0,0
RD538,83,75,43,201,4,35,47,22,104,2,23,29,6,58,0,6,1,0,7,0,62,51,33,139,3,28,33,15,71,2,19,21,4,41,0,4,1,0,5,0,2,0,2
GSS119197,79,78,43,200,4,50,40,21,111,2,22,26,8,56,0,7,4,3,14,0,65,55,37,150,3,43,27,19,85,2,17,16,6,37,0,3,2,3,8,0,3,0,3
RD382,78,61,25,164,3,47,28,17,92,3,25,16,8,49,3,6,6,3,15,0,49,42,20,98,2,31,19,13,56,2,18,9,6,29,2,5,3,2,8,0,0,0,0
RD393,78,52,27,157,3,49,39,16,104,2,29,26,6,61,2,7,2,4,13,1,50,36,16,92,0,33,26,9,60,0,20,20,3,39,0,4,2,3,9,0,0,0,0
RD420,78,130,226,434,139,49,71,106,226,46,16,28,28,72,13,1,7,1,9,0,52,78,188,304,114,29,40,91,156,37,9,19,21,49,10,1,4,1,6,0,15,12,14
UDN317520,77,59,12,148,0,52,37,3,92,0,23,27,0,50,0,1,4,0,5,0,59,46,10,102,0,40,28,2,63,0,18,21,0,37,0,1,3,0,4,0,0,0,0
UDN354231,77,90,27,194,1,50,55,16,121,0,24,29,6,59,0,7,11,0,18,0,51,61,25,124,1,34,38,15,76,0,15,19,5,33,0,3,6,0,9,0,4,0,4
UDN600230,77,73,13,163,5,41,46,5,92,5,18,23,3,44,5,5,7,1,13,2,54,53,13,109,2,33,34,5,64,2,16,17,3,33,2,4,3,1,6,1,0,0,0
RD379,74,58,21,153,2,45,40,10,95,1,23,19,5,47,1,10,6,2,18,0,53,43,15,103,1,31,30,6,60,1,13,15,4,28,1,6,3,2,9,0,3,0,2
RD421,74,62,27,163,4,38,36,15,89,2,19,24,7,50,0,5,2,2,9,0,45,45,21,96,3,21,26,11,49,1,12,17,4,29,0,2,0,1,3,0,1,0,1
UDN550488.Aligned.sortedByCoord.out.bam,73,60,478,611,109,61,50,420,531,84,46,38,336,420,67,24,27,219,270,34,38,32,253,282,91,36,28,223,252,69,26,21,186,206,54,14,14,124,138,27,389,82,209
GSS215019,72,47,7,126,2,48,26,4,78,2,21,17,3,41,2,4,4,1,9,1,56,34,5,88,0,35,20,3,52,0,13,13,2,25,0,1,3,0,3,0,0,0,0
GSS198417,70,95,16,181,0,36,53,6,95,0,20,30,4,54,0,7,1,1,9,0,52,65,14,122,0,30,38,6,69,0,16,23,4,39,0,5,1,1,7,0,2,0,2
RD145,69,62,24,155,7,42,29,11,82,4,19,12,3,34,0,5,1,0,6,0,50,41,21,102,6,29,18,9,51,4,14,9,2,23,0,5,1,0,6,0,0,0,0
RD376,69,72,33,174,3,44,53,17,114,1,19,20,6,45,1,3,7,2,12,0,39,42,20,96,2,28,29,8,62,1,12,15,2,28,1,2,6,0,8,0,3,0,3
RD445,69,93,35,197,1,39,55,16,110,0,15,35,5,55,0,1,6,0,7,0,48,67,28,134,1,27,41,11,75,0,12,25,2,37,0,1,5,0,6,0,2,0,2
RD464,69,79,72,220,10,35,54,39,128,8,21,20,15,56,7,7,9,1,17,3,42,52,50,134,4,17,32,26,68,3,8,11,8,23,2,3,5,0,6,1,3,0,3
RD454,66,53,23,142,4,36,29,18,83,4,22,23,4,49,4,10,7,2,19,1,43,29,15,76,2,23,12,13,41,2,13,7,2,19,2,5,4,1,8,1,0,0,0
GSS153634,64,73,1,138,7,32,47,1,80,7,17,27,1,45,5,5,8,0,13,2,48,52,1,95,3,26,33,1,56,3,14,17,1,30,2,3,3,0,5,2,0,0,0
GSS225379,64,74,354,492,159,43,48,310,401,136,27,26,281,334,114,15,14,167,196,48,46,52,216,290,131,30,33,189,235,113,17,19,168,191,96,9,10,103,113,44,281,123,174
GSS298499,64,50,20,134,1,49,26,11,86,0,28,12,3,43,0,2,1,0,3,0,52,37,16,95,1,40,18,10,62,0,24,8,2,30,0,2,1,0,3,0,0,0,0
RD373,63,64,38,165,2,42,34,19,95,2,23,8,9,40,0,5,1,4,10,0,41,44,26,103,2,25,25,13,58,2,15,6,5,24,0,3,1,3,6,0,1,0,1
UDN261975,62,76,18,156,1,29,40,10,79,1,18,24,4,46,1,3,10,1,14,1,45,58,16,108,1,22,29,8,55,1,13,18,3,31,1,2,8,0,10,1,0,0,0
RD404,61,34,12,107,4,49,21,4,74,4,29,8,3,40,3,13,6,2,21,1,39,21,9,66,1,30,10,3,42,1,12,2,2,15,1,3,2,1,5,1,0,0,0
UDN883285,61,83,11,155,3,36,38,5,79,1,20,16,1,37,1,3,4,1,8,0,48,62,10,113,1,29,29,4,59,1,16,11,0,26,1,3,3,0,6,0,1,0,1
RD399,60,69,21,150,5,34,43,12,89,3,20,22,6,48,1,11,10,1,22,1,43,50,12,99,3,25,29,7,56,2,13,16,3,30,0,5,6,0,10,0,1,1,1
UDN819505,60,90,31,181,5,39,52,16,107,4,25,26,5,56,4,7,7,0,14,2,46,67,24,122,1,32,40,10,72,1,18,21,3,38,1,5,7,0,11,0,1,0,1
UDN238929.Aligned.sortedByCoord.out.bam,59,53,325,437,46,49,41,272,362,38,37,31,210,278,30,18,13,104,135,11,30,28,190,220,41,24,25,160,187,33,18,20,126,146,26,7,9,68,78,11,266,36,160
RD407,58,50,19,127,1,36,34,9,79,1,21,19,6,46,1,6,9,0,15,0,44,33,15,84,1,29,21,9,55,1,16,9,6,27,1,4,4,0,6,0,0,0,0
RD546,58,65,38,161,2,29,37,13,79,2,9,21,4,34,2,5,4,0,9,0,43,46,31,115,1,22,30,11,59,1,7,18,4,29,1,5,3,0,8,0,3,0,2
RD411,57,43,18,118,0,40,17,9,66,0,28,13,2,43,0,5,5,0,10,0,46,32,12,84,0,31,12,5,44,0,23,8,1,28,0,3,3,0,4,0,1,0,1
UDN825711,57,48,13,118,0,29,21,5,55,0,13,9,2,24,0,5,2,0,7,0,45,34,13,86,0,24,15,5,40,0,10,6,2,17,0,3,1,0,3,0,0,0,0
GSS253639,55,56,9,120,5,32,46,5,83,4,19,25,4,48,1,13,9,2,24,1,42,44,5,80,3,23,36,2,53,2,13,17,2,26,1,8,5,1,11,1,2,0,2
