metric,mean,sd
All,165.47135416666666,219.1002470042559
Psi3,56.119791666666664,70.00993009729423
Psi5,55.408854166666664,70.18008930212238
Theta,53.942708333333336,101.19508780201114
Jaccard Index,27.559895833333332,134.95198471522824
