Estimate,Absolute_Effect_Estimate,pvalue,padjust,variance_explained,std_error,Value,Numbers
19.720148708931305,19.720148708931305,0.90782222432033,1,0.41504579597229496,3.5822015657508026,Intercept,5
-0.3006611091462693,0.3006611091462693,0.9876030494042738,1,0.00632795072721787,0.40699049090397305,RIN,4
1.2472972413402168,1.2472972413402168,0.024335159169406134,0.12167579584703067,0.02625160103948085,0.011611396254848541,age,3
19.518253810579335,19.518253810579335,0.3590691719113627,1,0.41079655677911947,0.44736634541602066,sexM,2
6.726826591002146,6.726826591002146,7.771675217474692e-10,3.885837608737346e-9,0.1415780954818869,0.022435339473825144,batch,1
