Estimate,Absolute_Effect_Estimate,pvalue,padjust,variance_explained,std_error,Value,Numbers
-1.046476850517535,1.046476850517535,0.7464481073015815,1,0.7548790112526507,2.3347278458356784,Intercept,5
-0.2796042824205693,0.2796042824205693,0.43733738596466853,1,0.20169333335110365,0.25968074806755503,RIN,4
0.007198678262840006,0.007198678262840006,0.5166507187059418,1,0.005192786755570526,0.008007173271862272,age,3
-0.017107225223403688,0.017107225223403688,0.9683062487176374,1,0.012340344896815273,0.3105842702441756,sexM,2
0.03589716928035843,0.03589716928035843,0.015764471611198677,0.07882235805599339,0.025894523743859862,0.010725375843739187,batch,1
