Estimate,Absolute_Effect_Estimate,pvalue,padjust,variance_explained,std_error,Value,Numbers
-55.44600415344423,55.44600415344423,0.30520271301652396,1,0.7821763962910812,0.7618135403730365,Intercept,5
6.892514918519592,6.892514918519592,0.2619844200050583,1,0.09723266018287592,0.08655316041902611,RIN,4
0.5492536152025157,0.5492536152025157,0.0018354331696957952,0.009177165848478976,0.007748316942732562,0.0024693526389340374,age,3
5.964506845833205,5.964506845833205,0.3770429081693095,1,0.08414125673360175,0.09513974386689605,sexM,2
2.0345490856569715,2.0345490856569715,4.2273993218755576e-9,2.1136996609377788e-8,0.02870136984970864,0.004771240557046491,batch,1
