sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
RD141,171,131,137,439,307,111,83,72,266,171,63,55,21,139,72,19,9,0,28,6,107,76,116,271,235,68,47,61,165,132,39,31,19,83,56,11,6,0,15,5,3,9,NA
UDN606250,171,199,235,605,5,114,117,124,355,3,58,62,50,170,0,10,13,4,27,0,124,149,200,438,4,81,86,105,249,3,44,47,42,124,0,7,10,3,19,0,10,0,NA
UDN118395,169,171,53,393,8,99,121,25,245,1,52,77,14,143,0,18,17,2,37,0,125,120,45,269,8,74,82,25,172,1,41,52,14,103,0,11,9,2,22,0,4,0,NA
UDN226821,169,176,186,531,5,116,113,80,309,3,66,52,28,146,1,23,13,2,38,0,124,136,168,394,4,84,87,72,224,3,49,41,27,109,1,16,9,2,24,0,5,0,NA
UDN267375,168,134,189,491,1,101,87,98,286,1,50,36,35,121,1,13,10,4,27,1,124,101,162,355,0,76,69,87,217,0,41,30,27,93,0,9,8,2,18,0,9,0,NA
UDN793640,168,148,110,426,1,109,99,45,253,0,63,57,13,133,0,20,14,0,34,0,126,106,98,308,1,84,69,41,180,0,47,39,12,90,0,13,10,0,21,0,3,0,NA
RD384,167,155,120,442,2,107,91,51,249,2,66,41,22,129,0,4,11,7,22,0,116,106,100,300,2,79,61,42,171,2,46,27,19,91,0,3,7,7,17,0,2,0,NA
UDN751647,166,175,188,529,0,103,116,101,320,0,61,70,42,173,0,13,19,5,37,0,115,125,162,368,0,73,88,91,230,0,44,53,38,124,0,10,13,5,28,0,7,0,NA
GSS196404,165,153,89,407,7,99,86,43,228,5,57,39,11,107,3,17,13,2,32,3,119,107,82,276,6,72,65,39,161,4,41,28,10,71,2,12,8,2,20,2,5,1,NA
UDN659517,162,168,62,392,12,103,104,28,235,5,61,58,10,129,2,17,21,0,38,2,113,118,57,259,8,72,73,25,151,3,43,40,10,81,1,10,13,0,18,1,2,0,NA
UDN370962,158,160,178,496,4,96,89,82,267,1,46,48,25,119,1,4,13,2,19,1,122,117,150,362,3,76,64,69,199,1,35,34,21,89,1,3,7,2,12,1,7,0,NA
RD418,157,155,76,388,1,102,107,33,242,1,56,63,11,130,0,16,17,1,34,0,111,104,66,257,0,73,73,27,161,0,41,41,8,84,0,12,11,1,23,0,7,0,NA
RD465,157,185,451,793,155,100,122,249,471,64,56,58,98,212,14,16,12,5,33,1,109,128,382,564,125,69,84,218,342,50,37,42,89,160,12,10,7,4,19,1,19,5,NA
RD536,153,171,92,416,7,100,107,37,244,3,57,70,13,140,1,13,15,1,29,0,99,115,76,278,6,67,72,30,160,2,38,48,11,91,1,9,7,1,15,0,5,0,NA
RD430,149,156,140,445,10,87,98,81,266,1,48,51,25,124,1,20,13,1,34,0,106,111,121,308,10,71,75,70,200,1,40,38,22,94,1,16,10,1,26,0,14,0,NA
UDN090830,147,155,88,390,5,88,82,40,210,2,41,50,7,98,1,12,8,1,21,1,106,109,81,270,4,61,62,36,152,1,30,37,7,72,1,9,6,1,16,1,2,0,NA
RD469,145,149,89,383,1,96,76,35,207,1,51,34,10,95,0,14,10,2,26,0,100,101,75,253,1,66,52,32,137,1,38,27,7,63,0,10,6,2,16,0,1,0,NA
UDN309913,144,130,110,384,4,83,77,40,200,3,40,44,15,99,3,12,14,3,29,3,102,93,99,270,4,65,50,38,138,3,32,30,14,71,3,10,9,3,20,3,5,1,NA
UDN908240,144,131,131,406,3,80,73,63,216,3,44,36,23,103,1,5,12,1,18,0,102,85,110,278,2,58,47,53,150,2,30,21,20,69,0,4,8,0,12,0,6,0,NA
GSS214169,143,146,34,323,4,89,84,11,184,2,51,48,7,106,1,12,7,3,22,1,105,99,31,216,4,64,59,10,126,2,34,37,6,72,1,6,6,3,14,1,1,0,NA
GSS153637,142,119,22,283,1,89,81,3,173,1,50,47,2,99,1,5,14,0,19,1,104,95,20,198,1,71,66,3,128,1,40,40,2,75,1,5,12,0,16,1,0,0,NA
RD533,141,114,144,399,81,90,67,69,226,36,53,42,17,112,9,4,11,3,18,0,89,73,127,261,69,55,47,63,153,33,30,30,16,72,9,3,6,3,12,0,12,6,NA
RD539,140,182,78,400,6,94,108,28,230,6,48,69,15,132,5,16,18,2,36,1,104,131,61,268,1,73,79,16,150,1,38,52,9,86,1,10,13,0,21,1,2,0,NA
UDN878321,139,144,128,411,4,94,87,49,230,3,52,57,18,127,2,13,13,0,26,1,101,106,110,294,2,70,66,41,165,2,39,43,17,91,1,9,10,0,16,1,6,0,NA
RD381,138,107,60,305,5,77,76,26,179,5,38,40,15,93,4,6,12,3,21,2,109,83,49,220,2,64,59,20,134,2,31,31,10,68,2,4,9,2,14,1,3,0,NA
