values,mean,sd,first_quantile,last_quantile
RNU4ATAC,175.75,18.997806890972093,169,184.25
non-RNU4ATAC,2.3341968911917097,8.797562915344502,0,2
overall,4.112820512820512,19.632814190852375,0,2
RNU6ATAC,153,NA,153,153
non-Minor_Spliceosome-opathy,1.9428571428571428,4.2813618772313005,0,2
