Estimate,Absolute_Effect_Estimate,pvalue,padjust,variance_explained,std_error,Value,Numbers
-0.5958426365856417,0.5958426365856417,0.8185827084304547,0.9067288451235663,0.5988515631911598,2.610873797171509,Intercept,5
-0.30307633295529357,0.30307633295529357,0.2965809895824794,0.6468716763490487,0.3046068284011343,0.29182674537691017,RIN,4
0.0080239863105386975,0.0080239863105386975,0.3881230058094292,0.6468716763490487,0.008064506381459507,0.009344450291959011,Age,3
-0.04251701152352232,0.04251701152352232,0.9067288451235663,0.9067288451235663,0.042731716815331125,0.36471221466437387,Sex,2
0.045515537757721186,0.045515537757721186,6.320129168277573e-4,0.0031600645841387866,0.04574538521091529,0.013385665518312093,Batch,1
