values,mean,sd,first_quartile,last_quartile,median
RNU4ATAC,304.25,51.12973694436536,275.75,328.5,300
non-RNU4ATAC,2.7461139896373057,13.521038841494628,0,2,0
overall,5.838461538461538,33.559861839344556,0,2,0
