values,zscores_theta_in_MIGs,number_theta_juncs_in_MIGs
RD268,8.958836862477492,180
GSS225379,8.704161197980566,175
UDN550488.Aligned.sortedByCoord.out.bam,9.824734121767039,197
UDN238929.Aligned.sortedByCoord.out.bam,7.481718008395323,197
RD380,7.583588274194094,153
