metric,mean,sd
All,299.4054054054054,265.745777857116
Psi3,115.24864864864865,139.31701732415428
Psi5,73.6054054054054,59.982886807432266
Theta,88.72432432432433,93.02515264527574
Jaccard Index,21.82702702702703,51.94313701502078
