Estimate,Absolute_Effect_Estimate,pvalue,padjust,variance_explained,std_error,Value,Numbers
-51.37631669167888,51.37631669167888,0.34684077464298657,0.34684077464298657,0.7477083890710908,0.7938402912176602,Intercept,5
6.398742907062483,6.398742907062483,0.30389113766541925,0.34684077464298657,0.09312449897551059,0.09045605201184365,RIN,4
0.5540150525039159,0.5540150525039159,0.003130897300106432,0.00782724325026608,0.0080628921865847,0.0027117096512495986,Age,3
8.190223941321207,8.190223941321207,0.2551478692172197,0.34684077464298657,0.11919692853903269,0.10459240588504216,Sex,2
2.1924043154426256,2.1924043154426256,2.6312644744501685e-9,1.3156322372250842e-8,0.03190729122778117,0.005233397109274337,Batch,1
