metric,mean,sd,first,last
All,172.62051282051283,239.98180005915762,21,220
Psi3,58.90769230769231,75.03477646042195,7,84.75
Psi5,60.9025641025641,81.84187992466846,6,81.75
Theta,52.81025641025641,98.49452843198694,5.25,36
Jaccard Index,56.792307692307695,236.8010900289034,2,10
