values,zscores_theta_in_MIGs,number_theta_juncs_in_MIGs
RD268,9.21224109746146,315
GSS225379,8.318316082405858,285
UDN550488.Aligned.sortedByCoord.out.bam,10.821306124561543,369
UDN238929.Aligned.sortedByCoord.out.bam,7.215808563837283,369
RD380,7.3052010653428425,251
